district,party,candidates,votes,pct_votes
Aljunied(103466),SDP,Aziz IbrahimKwan Yue KengS. KunalenTay HoonWong Hong Toy,31645,32.98
Aljunied(103466),PAP,Ker Sin TzeLim Tik En DavidSidek B SaniffToh See KiatGeorge Yong-Boon Yeo,64299,67.02
Ang Mo Kio(125344),PAP,Lee Hsien LoongSeng Han ThongInderjit SinghTan Boon WanTang Guan Seng,Uncontested,0
Ayer Rajah(22025),SPP,Sin Kek Tong,5531,26.83
Ayer Rajah(22025),PAP,Tan Cheng Bock,15081,73.17
Bishan - Toa Payoh(122256),PAP,Ho Tat KinIbrahim OthmanLeong Horn KeeDavinder SinghWong Kan Seng,Uncontested,0
Boon Lay(20014),PAP,Goh Chee Wee,12407,66.10
Boon Lay(20014),NSP,Christopher Neo Ting Wei,6362,33.90
Bukit Gombak(24909),PAP,Ang Mong Seng,15229,65.14
Bukit Gombak(24909),SDP,Ling How Doong,6643,28.42
Bukit Gombak(24909),SPP,Syed Farid Wajidi,1506,6.44
Bukit Timah(118248),PAP,Foo Yee ShoonLim Boon HengOng Chit ChungR. RavindranWang Kai Yuen,Uncontested,0
Cheng San(103323),WP,Abdul Rahim Bin OsmanHuang Seow KwangJ B JeyaretnamTan Bin SengTang Liang Hong,44132,45.18
Cheng San(103323),PAP,Heng Chiang MengLee Yock SuanMichael Lim Chun LengYeo Guat KwangZainul Abidin Rasheed,53553,54.82
Chua Chu Kang(24074),INDP,Chia Shi Teck,3210,14.06
Chua Chu Kang(24074),PAP,Low Seow Chay,14141,61.92
Chua Chu Kang(24074),DPP,Tan Soo Phuan,445,1.95
Chua Chu Kang(24074),NSP,Yip Yew Weng,5040,22.07
East Coast(142201),PAP,Abdullah TarmugiChan Soo SenChew Heng ChingChng Hee KokS JayakumarTan Soo Khoon,Uncontested,0
Hong Kah(125452),PAP,John ChenKenneth Chen Koon LapPeter Chen Min LiangHarun Abdul GhaniYeo Cheow Tong,82182,69.00
Hong Kah(125452),NSP,Steve Chia Kiah HongKee Chin Wah PatrickTan Chee KienWong Wee NamYadzeth Bin Hairis,36920,31.00
Hougang(24423),PAP,Heng Chee How,9736,41.98
Hougang(24423),WP,Low Thia Khiang,13458,58.02
Jalan Besar(71922),SDP,David ChewGandhi AmbalamJufrie MahmoodLow Yong Nguan,21537,32.45
Jalan Besar(71922),PAP,Choo Wee KhiangLee Boon YangPeh Chin HuaYaacob Ibrahim,44840,67.55
Kampong Glam(20044),PAP,Loh Meng See,13446,74.52
Kampong Glam(20044),DPP,Tan Lead Shake,4598,25.48
Kreta Ayer - Tanglin(75126),PAP,Hu Tsu TauLew Syn PauLily NeoR Sinnakaruppan,Uncontested,0
MacPherson(20734),SDP,Chee Soon Juan,6713,34.86
MacPherson(20734),PAP,Matthias Yao Chih,12546,65.14
Marine Parade(142106),PAP,Goh Chok TongGoh Choon KangLim Hwee HuaMohamad Maidin B P MOthman Haron EusofeYap Giau Cheng Eugene,Uncontested,0
Nee Soon Central(26257),SDP,Cheo Chai Chen,9591,38.67
Nee Soon Central(26257),PAP,Ong Ah Heng,15214,61.33
Pasir Ris(85908),WP,A. BalakrishnanA. RahimLim Chiu LiangSim Say Chuan,23404,29.14
Pasir Ris(85908),PAP,Ahmad Bin Mohamed MagadChong You Fook CharlesOng Kian MinTeo Chee Hean,56907,70.86
Potong Pasir(18759),SPP,Chiam See Tong,9709,55.15
Potong Pasir(18759),PAP,Gan Lai Chiang,7895,44.85
Sembawang(154402),PAP,Chin Tet YungHawazi DaipiHo Peng KeeK ShanmugamTony Tan Keng YamTeo Ho Pin,Uncontested,0
Tampines(94476),PAP,Aline WongMah Bow TanSin Boon AnnYatiman Yusof,Uncontested,0
Tanjong Pagar(141520),PAP,Chay Wai ChuenKoo Tsai KeeLee Kuan YewLim Swee SayOw Chin HockS Vasoo,Uncontested,0
West Coast(74022),WP,Mike ChanD'Cruz AnthonyJohn Gan Eng GuanNg Teck Siong,20550,29.86
West Coast(74022),PAP,Chen Tien Lap BernardLim Hng KiangS IswaranWan Soon Bee,48275,70.14
