year,PAP,SPP,WP,Others
1955,13634,0,0,142690
1959,281891,0,4127,235253
1963,272924,0,286,308345
1968,65812,0,3049,7033
1972,524892,0,90885,129462
1980,494268,0,39590,102594
1984,568310,0,110939,197347
1988,848029,0,224473,269933
1991,477769,0,112010,193842
1997,465751,16746,101544,132704
2001,470765,0,19060,135442
2006,748130,0,183578,191565
2011,1212154,62639,258510,482333
