district,party,candidates,candidates_count,votes,pct_votes
Holland-Bukit Timah(91607),SDP,ANG YONG GUANMICHELLE LEE JUENTAN JEE SAYWIJEYSINGHA VINCENT RENE,2,32406,39.92
Holland-Bukit Timah(91607),PAP,DE SOUZA CHRISTOPHER JAMESLIANG ENG HWASIM ANNVIVIAN BALAKRISHNAN,2,48773,60.08
Hong Kah North(27701),PAP,AMY KHOR LEAN SUAN,2,18156,70.61
Hong Kah North(27701),SPP,SIN KEK TONG,2,7556,29.39
Hougang(24560),PAP,DESMOND CHOO PEY CHING,2,8065,35.20
Hougang(24560),WP,YAW SHIN LEONG,2,14850,64.80
Joo Chiat(22069),PAP,CHARLES CHONG YOU FOOK,2,9666,51.02
Joo Chiat(22069),WP,YEE JENN JONG,2,9278,48.98
Jurong(125276),NSP,ABDUL RASHEEDCHRISTOPHER NEO TING WEINORAINI YUNUSONG BENG SOON ELVINONG HOCK SIONG,2,37786,33.04
Jurong(125276),PAP,ANG WEI NENGHALIMAH BINTE YACOBDESMOND LEE TI-SENG (LI ZHISHENG)ONG KIM HUATTHARMAN SHANMUGARATNAM,2,76595,66.96
Marine Parade(154451),NSP,ABDUL SALIM BIN HARUNCHEO CHAI CHENNG CHUNG HONNICOLE REBECCA SEAH XUE LINGYEO TIONG BOON,2,59926,43.36
Marine Parade(154451),PAP,FATIMAH BINTE ABDUL LATEEFGOH CHOK TONGSEAH KIAN PENGTAN CHUAN-JINTIN PEI LING,2,78286,56.64
Moulmein-Kallang(87595),WP,CHAN SIO PHING FRIEDAL SOMASUNDARAMMOHD RAHIZAN BIN YA'ACOBTOH HONG BOON,2,31773,41.45
Moulmein-Kallang(87595),PAP,LUI TUCK YEWPHUA LAY PENG DENISEEDWIN TONG CHUN FAIYAACOB BIN IBRAHIM,2,44886,58.55
Mountbatten(23731),NSP,JEANNETTE CHONG-ARULDOSS,2,8461,41.38
Mountbatten(23731),PAP,LIM BIOW CHUAN,2,11985,58.62
Nee Soon(148290),WP,CHONG CHAM WENGOON KHENG FAYE ANGELAPOH LEE GUANSAJEEV S/O KUNJU RAMAN &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;KAMALASANANYAM POH NAM,2,57523,41.60
Nee Soon(148290),PAP,K SHANMUGAMLEE BEE WAHLIM WEE KIAKMUHAMMAD FAISHAL IBRAHIMTAY TECK GUAN PATRICK,2,80740,58.40
Pasir Ris-Punggol(168971),PAP,GAN THIAM POHJANIL ARUSHA PUTHUCHEARYLOW PENNYTEO CHEE HEANTEO SER LUCKZAINAL BIN SAPARI,2,100493,64.79
Pasir Ris-Punggol(168971),SDA,HARMINDER PAL SINGHLEE SONG JUANJEFFREY LIMMOHD SHAFNISIDNEY SOONTAN KENG HONG,2,54601,35.21
Pioneer(25745),NSP,CHIA STEVE,2,9437,39.27
Pioneer(25745),PAP,CEDRIC FOO CHEE KENG,2,14593,60.73
Potong Pasir(17327),SPP,LOH WOON LEE LINA,2,7878,49.64
Potong Pasir(17327),PAP,SITOH YIH PIN,2,7992,50.36
Punggol East(33281),WP,LEE LI LIAN,3,12777,41.01
Punggol East(33281),SDA,LIM BAK CHUAN DESMOND,3,1387,4.45
Punggol East(33281),PAP,MICHAEL PALMER,3,16994,54.54
Radin Mas(31014),PAP,TAN CHIN SIONG,2,18609,67.10
Radin Mas(31014),NSP,YIP YEW WENG,2,9123,32.90
Sembawang(142459),PAP,HAWAZI DAIPIKHAW BOON WANELLEN LEE GECK HOONONG TENG KOONVIKRAM NAIR,2,84252,63.90
Sembawang(142459),SDP,JAMES GOMEZLUO JIE JARRODMOHD ISASADASIVAM VJOHN TAN LIANG JOO,2,47605,36.10
Sengkang West(26882),WP,KOH CHOONG YONG,2,10591,41.89
Sengkang West(26882),PAP,LAM PIN MIN,2,14689,58.11
Tampines(137532),PAP,BAEY YAM KENGHENG SWEE KEATMAH BOW TANMASAGOS ZULKIFLI BMMIRENE NG PHEK HOONG,2,72728,57.22
Tampines(137532),NSP,FONG CHIN LEONGGOH KEOW WAHGOH MENG SENGRAYMOND LIM PENG ANNSYAFARIN BIN SARIF,2,54381,42.78
Tanjong Pagar(139771),PAP,CHAN CHUN SINGCHIA SHI-LUINDRANEE THURAI RAJAHLEE KUAN YEWLILY TIRTASANA NEO,2,Uncontested,0
West Coast(121045),PAP,ARTHUR FONGFOO MEE HARLIM HNG KIANGS ISWARANLAWRENCE WONG,2,72563,66.57
West Coast(121045),RP,HO SOAK HARNKENNETH ANDREW JEYARETNAMKUMAR S/O APPAVOOLOW CHIAK HUANZHU LAICHENG,2,36443,33.43
Whampoa(21631),PAP,HENG CHEE HOW,2,13028,66.10
Whampoa(21631),NSP,KEN SUN,2,6683,33.90
Yuhua(23199),PAP,GRACE FU HAI YIEN,2,14093,66.86
Yuhua(23199),SDP,TEO SOH LUNG,2,6986,33.14
