district,party,candidates,candidates_count,votes,pct_votes
Aljunied(143148),WP,CHEN SHOW MAOSYLVIA LIMLOW THIA KHIANGMUHAMAD FAISAL BIN ABDUL MANAPPRITAM SINGH,2,72289,54.72
Aljunied(143148),PAP,LIM HWEE HUAONG YE KUNGCYNTHIA PHUAGEORGE YONG-BOON YEOZAINUL ABIDIN RASHEED,2,59829,45.28
Ang Mo Kio(179071),PAP,ANG HIN KEEINDERJIT SINGHINTAN AZURA BINTE MOKHTARLEE HSIEN LOONGSENG HAN THONGYEO GUAT KWANG,2,112677,69.33
Ang Mo Kio(179071),RP,LIM TUNG HEE ARTHEROLIM ZIRUIMOHAMED MANSOR BIN ABDUL &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;RAHMANOSMAN BIN SULAIMANTAN ZHI XIANGVIGNESWARI D/O V RAMACHANDRAN,2,49851,30.67
Bishan-Toa Payoh(122492),SPP,CHIAM SEE TONGLEE YEONG WEEWILFRED LEUNGMOHAMAD HAMIM ALIYASBENJAMIN PWEE,2,47205,43.07
Bishan-Toa Payoh(122492),PAP,HRI KUMAR NAIRNG ENG HENJOSEPHINE TEOWONG KAN SENGZAINUDIN NORDIN,2,62385,56.93
Bukit Panjang(33053),PAP,TEO HO PIN,2,20375,66.27
Bukit Panjang(33053),SDP,ALEC TOK,2,10372,33.73
Chua Chu Kang(158648),PAP,GAN KIM YONGLOW YEN LINGALEX YAM ZIMINGYEO KHIRN HAI ALVINZAQY BIN MOHAMAD,2,89710,61.20
Chua Chu Kang(158648),NSP,JEISILAN SIVALINGAMNOR LELLA MARDIIIAH BTE MOHAMEDHAZEL POA KOON KOONTONY TAN LAY THIAMTEO KWAY HUANG SEBASTIAN,2,56885,38.80
East Coast(120324),WP,GERALD GIAM YEAN SONGGLENDA HAN SU MAYMOHAMED FAZLI BIN TALIPPNG ENG HUATERIC TAN HENG CHONG,2,49429,45.17
East Coast(120324),PAP,LEE YI SHYANLIM SIANG KEAT RAYMONDLIM SWEE SAYMOHD MALIKI BIN OSMANTAN SOON NEO JESSICA,2,59992,54.83
