district,party,candidates,votes,pct_votes
Tampines(19656),UPF,Kasmin B Ibrahim,5032,27.66
Tampines(19656),PAP,Phua Bah Lee,13163,72.34
Tanah Merah(17808),PAP,Ibrahim Othman,11093,68.08
Tanah Merah(17808),SUF,Ng Lep Chong,5201,31.92
Tanglin(15990),PAP,E W Barker,Uncontested,0
Tanjong Pagar(15812),PAP,Lee Kuan Yew,Uncontested,0
Teck Ghee(16866),UPF,Giam Lai Cheng,3123,19.62
Teck Ghee(16866),PAP,Lee Hsien Loong,12794,80.38
Telok Ayer(13984),PAP,Ong Pang Boon,Uncontested,0
Telok Blangah(19550),PAP,Koh Lam Son,10150,55.02
Telok Blangah(19550),WP,Rajaratnam Murugason,8299,44.98
Thomson(15271),PAP,Leong Horn Kee,Uncontested,0
Tiong Bahru(20091),PAP,Chng Jit Koon,Uncontested,0
Toa Payoh(14177),PAP,Cheong Yuen Chee,8559,65.16
Toa Payoh(14177),BS,Ng Ho,4576,34.84
Ulu Pandan(22761),PAP,Dixie Tan-Lee Mo Chun,Uncontested,0
West Coast(28008),JPS,M Ramasamy,6331,24.28
West Coast(28008),PAP,Wan Soon Bee,19745,75.72
Whampoa(18494),PAP,Tan Hui Heng Augustine,Uncontested,0
Yio Chu Kang(16734),PAP,Lau Ping Sum,11977,76.66
Yio Chu Kang(16734),UPF,Munjeet Singh,3647,23.34
Yuhua(16266),PAP,Foo Yee Shoon,9551,61.43
Yuhua(16266),SDP,Lim Ah Yong,5996,38.57
