district,party,candidates,votes,pct_votes
Alexandra(19670),WP,J C Corera,6053,33.21
Alexandra(19670),PAP,Tan Soo Khoon,12172,66.79
Aljunied(19045),PAP,Chin Harn Tong,Uncontested,0
Ang Mo Kio(14633),UPF,Ang Bee Lian,3711,27.25
Ang Mo Kio(14633),PAP,Yeo Toon Chia,9909,72.75
Anson(18493),WP,J B Jeyaretnam,9909,56.81
Anson(18493),PAP,Ng Pock Too,7533,43.19
Ayer Rajah(20017),JPS,A R Suib,4575,24.56
Ayer Rajah(20017),PAP,Tan Cheng Bock,14050,75.44
Bedok(17074),SUF,Lee Chin Teck,4941,31.05
Bedok(17074),PAP,S Jayakumar,10972,68.95
Bo Wen(14777),PAP,S Vasoo,10299,74.70
Bo Wen(14777),UPF,Sh Ahmad Salim,3488,25.30
Boon Lay(18964),PAP,Goh Chee Wee,12490,69.65
Boon Lay(18964),SUF,Reveendran Sasi,5443,30.35
Boon Teck(19490),PAP,Ho Tat Kin,10224,56.16
Boon Teck(19490),BS,Lee Siew Choh,7982,43.84
Brickworks(13571),PAP,Ahmad Mattar,8389,66.27
Brickworks(13571),WP,Mohd Taib B Saffar,4270,33.73
Bukit Batok(20812),PAP,Chai Chong Yii,14767,78.27
Bukit Batok(20812),UPF,Tan Jue Kit,4099,21.73
Bukit Merah(19210),PAP,Lim Chee Onn,Uncontested,0
Bukit Panjang(23173),PAP,Lee Yiok Seng,Uncontested,0
Bukit Timah(17238),PAP,Wang Kai Yuen,Uncontested,0
Buona Vista(18041),PAP,Ang Kok Peng,Uncontested,0
Cairnhill(15862),PAP,Wong Kwei Cheong,Uncontested,0
Changi(20129),SUF,Sim Peng Kim,6353,34.25
Changi(20129),PAP,Teo Chong Tee,12195,65.75
Changkat(18742),SDP,Soon Kia Seng,7297,41.44
Changkat(18742),PAP,Aline K Wong,10310,58.56
Cheng San(17328),PAP,Lee Yock Suan,Uncontested,0
Choon Boon(20650),SDP,Ling How Dung,8681,43.98
Choon Boon(20650),PAP,S Chandra Das,11058,56.02
Chua Chu Kang(25532),WP,Chan Keng Sieng,10720,44.35
Chua Chu Kang(25532),PAP,Tang See Chim,13254,54.84
Chua Chu Kang(25532),UPF,Teo Kim Hoe,196,0.81
Clementi(20890),PAP,Bernard Chen Tien Lap,Uncontested,0
Delta(14800),WP,Chua Chwee Huat Peter,5614,41.28
Delta(14800),PAP,Yeo Choo Kok,7987,58.72
Eunos(17615),SUF,Chong Tung Shang,5697,35.19
Eunos(17615),PAP,Zulkifli Mohammed,10494,64.81
Fengshan(18407),PAP,Arthur Beng Kian Lam,11216,65.13
Fengshan(18407),SUF,Chng Chin Siah,6005,34.87
Geylang Serai(24109),SUF,Mohamed Monsor Rahman,7649,34.43
Geylang Serai(24109),PAP,Othman Haron Eusofe,14564,65.57
Geylang West(22325),SUF,Lim Tiong Hock,6847,33.17
Geylang West(22325),PAP,Teh Cheang Wan,13798,66.83
Henderson(17630),WP,Chon Koon Cheong,6793,41.20
Henderson(17630),PAP,Lai Tha Chai,9695,58.80
Hong Kah(22062),PAP,Yeo Cheow Tong,Uncontested,0
Jalan Besar(16115),WP,A Balakrishnan,5100,35.57
Jalan Besar(16115),PAP,Lee Boon Yang,9236,64.43
Jalan Kayu(25011),WP,D Nair,11414,48.78
Jalan Kayu(25011),PAP,Heng Chiang Meng,11985,51.22
Joo Chiat(18957),PAP,Yeoh Ghim Seng,Uncontested,0
Jurong(24517),PAP,Ho Kah Leong,Uncontested,0
Kaki Bukit(20683),PAP,Chew Heng Ching,10229,52.28
Kaki Bukit(20683),SUF,Tan Chee Kien,9336,47.72
Kallang(18809),WP,A L Sundram,6075,35.05
Kallang(18809),PAP,S Dhanabalan,11256,64.95
Kampong Chai Chee(22537),PAP,Fong Sip Chee,12125,57.16
Kampong Chai Chee(22537),SUF,Seow Khee Leng,9087,42.84
Kampong Glam(18127),PAP,S Rajaratnam,Uncontested,0
Kampong Kembangan(20295),WP,Mohamed Jufrie Bin Mahmood,8210,44.29
Kampong Kembangan(20295),PAP,Yatiman Yusof,10326,55.71
Kampong Ubi(14323),PKMS,Hj Abd Rahman Zin,4768,36.27
Kampong Ubi(14323),PAP,Wan Hussin Zoohri,8378,63.73
Kebun Baru(17542),UPF,Harbans Singh,3921,24.16
Kebun Baru(17542),PAP,Lim Boon Heng,12311,75.84
Khe Bong(15773),BS,Sim Say Chuan,5525,37.47
Khe Bong(15773),PAP,Tang Guan Seng,9221,62.53
Kim Keat(20439),PAP,Ong Teng Cheong,Uncontested,0
Kim Seng(22136),PAP,Yeo Ning Hong,Uncontested,0
Kolam Ayer(23630),WP,G S Roy,9311,42.09
Kolam Ayer(23630),PAP,Sidek B Saniff,12812,57.91
Kreta Ayer(15982),PAP,HU Tsu Tau,11083,83.17
Kreta Ayer(15982),INDP,Lee Mun Hung,2242,16.83
Kuo Chuan(18728),BS,Sim Chit Giak,6129,35.45
Kuo Chuan(18728),PAP,Wong Kan Seng,11162,64.55
Leng Kee(14805),WP,Armstrong G B,4559,33.16
Leng Kee(14805),PAP,Ow Chin Hock,9190,66.84
MacPherson(19500),PAP,Chua Sian Chin,Uncontested,0
Marine Parade(23622),SUF,De Gracias Gertrude M,6242,29.07
Marine Parade(23622),PAP,Goh Chok Tong,15228,70.93
Moulmein(18893),PAP,Sia Khoon Seong,Uncontested,0
Mountbatten(21480),INDP,Tan Ah Teng,3692,18.68
Mountbatten(21480),PAP,Eugene Yap Giau Cheng,16077,81.32
Nee Soon(26897),PAP,Koh Lip Lin,18444,74.24
Nee Soon(26897),SUF,Quek Teow Chuan,6401,25.76
Pasir Panjang(17149),PAP,Abbas Abu Amin,9316,59.35
Pasir Panjang(17149),WP,John Gan Eng Guan,6022,38.36
Pasir Panjang(17149),AI,M Sani Jan,359,2.29
Paya Lebar(18420),PAP,Philip Tan Tee Yong,Uncontested,0
Potong Pasir(17915),SDP,Chiam See Tong,10128,60.28
Potong Pasir(17915),PAP,Mah Bow Tan,6674,39.72
Punggol(24727),PAP,Ng Kah Ting,14904,65.09
Punggol(24727),SUF,Sim Ah Leng,7995,34.91
Queenstown(18084),PAP,Jek Yeun Thong,Uncontested,0
Radin Mas(19770),PAP,Chng Hee Kok,9997,53.78
Radin Mas(19770),WP,Wong Hong Toy,8590,46.22
River Valley(13481),PAP,Tay Eng Soon,Uncontested,0
Rochore(14164),PAP,Toh Chin Chye,Uncontested,0
Sembawang(22326),INDP,Stanley Mariadass,4652,22.58
Sembawang(22326),PAP,Tony Tan Keng Yam,15948,77.42
Serangoon Gardens(17553),PAP,Lau Teik Soon,Uncontested,0
Siglap(17090),PAP,Abdullah B Tarmugi,Uncontested,0
