district,party,candidates,votes,pct_votes
Alexandra(24499),UNF,S.A. Hamid,1427,6.16
Alexandra(24499),WP,Wong Kui Yu,3782,16.32
Alexandra(24499),PAP,Wong Lin Ken,17965,77.52
Aljunied(19278),UNF,Amir Ali b.Mohamed,762,4.24
Aljunied(19278),PAP,Chee Han Tong,12861,71.51
Aljunied(19278),WP,Lim Kang Chew,4360,24.25
Anson(8171),UNF,C. Kunjuraman,444,6.57
Anson(8171),PAP,P. Govindaswamy,5027,74.34
Anson(8171),WP,Tay Kim Oh,1291,19.09
Boon Teck(15958),PF,Lim Thiam Hock,4954,33.25
Boon Teck(15958),PAP,Phey Yew Kok,9947,66.75
Bras Basah(8323),PAP,Ho See Beng,Uncontested,0
Bukit Batok(14563),PAP,Chai Chong Yii,9765,73.78
Bukit Batok(14563),UNF,R. Vetrivelu,3471,26.22
Bukit Ho Swee(12212),BS,Chin Tian Choo,2209,19.32
Bukit Ho Swee(12212),PAP,Seah Mui Kok,7862,68.77
Bukit Ho Swee(12212),WP,Wee Kia Eng,1361,11.91
Bukit Merah(13960),WP,Kho Jiak Hiong,2042,15.65
Bukit Merah(13960),PAP,Lim Guan Hoo,9044,69.33
Bukit Merah(13960),BS,Said Jali,1958,15.02
Bukit Panjang(15461),PAP,Lee Yiok Seng,9527,67.65
Bukit Panjang(15461),UNF,Leyu Tan Jib,1060,7.53
Bukit Panjang(15461),WP,Tang Song Khiang,3496,24.82
Bukit Timah(15476),PAP,Chor Yeok Eng,9475,66.78
Bukit Timah(15476),BS,K. K. Nair,4714,33.22
Cairnhill(11952),UNF,Paul Elisha,1994,19.08
Cairnhill(11952),PAP,Lim Kim San,8458,80.92
Changi(18297),WP,Normah Yahya,4917,29.20
Changi(18297),UNF,Omar Ningal,1412,8.38
Changi(18297),PAP,Sim Boon Woo,10512,62.42
Chua Chu Kang(15669),BS,Ng Ah Chue,5434,37.64
Chua Chu Kang(15669),PAP,Tang See Chim,9002,62.36
Crawford(9285),PAP,Ang Kok Peng,6040,72.60
Crawford(9285),UNF,N. M. Abdul Wahid,714,8.59
Crawford(9285),WP,Wu Kher,1565,18.81
Delta(13781),PAP,Yeo Choo Kok,9149,70.72
Delta(13781),WP,Wong Hong Toy,2186,16.90
Delta(13781),BS,A. Rahim,1602,12.38
Farrer Park(12707),WP,Jeyaretnam J. B.,2668,23.11
Farrer Park(12707),UNF,S. A. Latiff,354,3.07
Farrer Park(12707),PAP,Lee Chiaw Meng,8521,73.82
Geylang East(16580),PAP,Ho Cheng Choon,9692,64.24
Geylang East(16580),WP,Kum Teng Hock,4951,32.81
Geylang East(16580),UNF,Mohd. Elias Ibrahim,445,2.95
Geylang Serai(13837),PKMS,Ahmad Haji Taff,4978,39.75
Geylang Serai(13837),PAP,Rahmat Bin Kenap,6711,53.59
Geylang Serai(13837),UNF,Rom b. Jaafar,833,6.66
Geylang West(11653),WP,Quek Doh Lam,3246,30.72
Geylang West(11653),PAP,Yong Nyuk Lin,7320,69.28
Havelock(10849),BS,Harbans Singh,2692,27.35
Havelock(10849),PAP,Hon Sui Sen,7151,72.65
Henderson(9431),PAP,Lai Tha Chai,6577,74.43
Henderson(9431),PF,Wong Wen Nan @ Ong Boon Nam,2260,25.57
Hong Lim(7486),PAP,Lee Khoon Choy,4835,73.79
Hong Lim(7486),PF,Wong Kong Hoa,1717,26.21
Jalan Besar(10310),PAP,Chan Chee Seng,7794,83.86
Jalan Besar(10310),UNF,Johnnie Ng,1500,16.14
Jalan Kayu(14982),WP,Damodaran Nair M. P.,5137,36.86
Jalan Kayu(14982),PAP,Hwang Soo Jin,8283,59.42
Jalan Kayu(14982),UNF,Ong Seng Kok,518,3.72
Joo Chiat(15684),UNF,William Cook,2307,16.51
Joo Chiat(15684),PAP,Yeoh Ghim Seng,11669,83.49
Jurong(15348),PAP,Ho Kah Leong,10741,76.43
Jurong(15348),UNF,Ng Soon Hee,3312,23.57
Kallang(17232),PAP,Abdul Aziz Karim,12626,79.75
Kallang(17232),UNF,Sultan Mydin Bin Abdul Hamid,3205,20.25
Kampong Chai Chee(15564),WP,Hashim Bin Yadi,2590,18.19
Kampong Chai Chee(15564),BS,Ng Yang Choo,4188,29.42
Kampong Chai Chee(15564),PAP,Sha'ari Bin Tadin,7458,52.39
Kampong Glam(7542),PAP,Sinnathamby Rajaratnam,Uncontested,0
Kampong Kapor(9361),UNF,Chng Boon Eng,2251,26.85
Kampong Kapor(9361),PAP,Yeo Toon Chia,6132,73.15
Kampong Kembangan(18480),UNF,Kamaruddin Hassan,1687,10.04
Kampong Kembangan(18480),PAP,Mohamed Ariff Bin Suradi,9671,57.53
Kampong Kembangan(18480),WP,Othman Abdullah,5451,32.43
Kampong Ubi(15431),UNF,Darus Shariff,1017,7.20
Kampong Ubi(15431),PKMS,Rahman Zin,5076,35.94
Kampong Ubi(15431),PAP,Ya'acob bin Mohamed,8030,56.86
Katong(16766),PAP,De Conceicao Joseph Francis,Uncontested,0
Kim Keat(14640),PAP,Ong Teng Cheong,10262,74.00
Kim Keat(14640),UNF,W. J. Paglar,583,4.21
Kim Keat(14640),WP,Seow Khee Leng,3022,21.79
Kim Seng(12893),PAP,Ong Leong Boon,8178,67.74
Kim Seng(12893),WP,Heng Swee Tong,3895,32.26
Kreta Ayer(9627),PAP,Goh Keng Swee,Uncontested,0
Kuo Chuan(15142),BS,P. Mano,3757,26.31
Kuo Chuan(15142),PAP,P. Selvadurai,10523,73.69
Leng Kee(17158),PAP,Ahmad Mattar,10929,68.28
Leng Kee(17158),UNF,N. Logam,1042,6.51
Leng Kee(17158),WP,Ng Ho,4036,25.21
MacPherson(15637),PAP,Chua Sian Chin,10117,68.76
MacPherson(15637),WP,Lee Tow Kiat,4597,31.24
Moulmein(11144),WP,Cheng Poh Yew,2822,27.57
Moulmein(11144),PAP,Sia Khoon Seong,7412,72.43
