district,party,candidates,votes,pct_votes
Mountbatten(14396),PAP,Ng Yeow Chong,Uncontested,0
Nee Soon(17061),PAP,Ong Soo Chuan,11636,73.29
Nee Soon(17061),UNF,F. S. Yap,4240,26.71
Pasir Panjang(13964),PAP,Othman Bin Wok,9209,71.77
Pasir Panjang(13964),UNF,Syed Ahmad Bin Syed Husain,3623,28.23
Paya Lebar(19102),INDP,Kow Kee Seng,1545,8.59
Paya Lebar(19102),WP,Tan Poh Seng,5361,29.82
Paya Lebar(19102),PAP,Tay Boon Too,11073,61.59
Potong Pasir(13103),PAP,Baptist Ivan Cuthbert,7772,66.22
Potong Pasir(13103),UNF,Harnek Singh,573,4.89
Potong Pasir(13103),WP,Rajaratnam Murugason,3391,28.89
Punggol(15303),PAP,Ng Kah Ting,8215,58.13
Punggol(15303),INDP,Ng Teng Kian,5917,41.87
Queenstown(18458),WP,Chua Eng Huat,2504,14.33
Queenstown(18458),PAP,Jek Yeun Thong,14200,81.24
Queenstown(18458),UNF,Lew Ban Huat,775,4.43
River Valley(12189),PAP,Tan Eng Liang,Uncontested,0
Rochore(11589),BS,Lee Siew Choh,4076,39.60
Rochore(11589),PAP,Toh Chin Chye,6218,60.40
Sembawang(12217),UNF,Mohd Arif,2478,22.64
Sembawang(12217),PAP,Teong Eng Siong,8466,77.36
Sepoy Lines(12308),UNF,Ho Soo Hock,2107,18.70
Sepoy Lines(12308),PAP,Wee Toon Boon,9160,81.30
Serangoon Gardens(13836),PAP,Rodrigo Leonard Peter,Uncontested,0
Siglap(16091),PAP,Abdul Rahim Ishak,11456,78.63
Siglap(16091),WP,Ariffin Noordin,2529,17.36
Siglap(16091),UNF,H. M. Yahiya,584,4.01
Stamford(8212),WP,Chiang Seok Keong,1999,28.23
Stamford(8212),PAP,Fong Sip Chee,5083,71.77
Tampines(15302),PAP,Phua Bah Lee,9049,64.30
Tampines(15302),PF,Tan Sim Hock,5025,35.70
Tanglin(12777),PAP,Barker Edmund William,Uncontested,0
Tanjong Pagar(9946),PAP,Lee Kuan Yew,7542,84.08
Tanjong Pagar(9946),PF,Leong Mun Kwai,1428,15.92
Telok Ayer(10547),UNF,Ng Oh Chew,1452,16.02
Telok Ayer(10547),PAP,Ong Pang Boon,7612,83.98
Telok Blangah(14624),PAP,N. Govindasamy,7669,57.92
Telok Blangah(14624),UNF,M. Ramasamy,858,6.48
Telok Blangah(14624),WP,Zainul Abiddin Bin Mohd. Shah,4714,35.60
Thomson(18702),PAP,Ang Nam Piau,12378,72.55
Thomson(18702),PF,Chung Kit Wong,4683,27.45
Tiong Bahru(17394),PAP,Chng Jit Koon,11991,75.62
Tiong Bahru(17394),UNF,Lee Kah Chit,894,5.64
Tiong Bahru(17394),WP,Seow Yong Chew,2972,18.74
Toa Payoh(15742),PAP,Cheong Yuen Chee,10884,73.85
Toa Payoh(15742),BS,Tay Cheng Kang,3853,26.15
Ulu Pandan(14485),UNF,Ang Kheng Kwan,3678,28.17
Ulu Pandan(14485),PAP,Chiang Hai Ding,9378,71.83
Upper Serangoon(16621),UNF,Lim Kia Joo,3401,22.28
Upper Serangoon(16621),PAP,Sia Kah Hui,11862,77.72
Whampoa(12044),PF,Phang Juet Haw,2395,21.45
Whampoa(12044),PAP,Tan Hui Heng Augustine,8773,78.55
