district,party,candidates,candidates_count,votes,pct_votes
Aljunied(13255),LSP,E. H. Holloway,3,5004,43.36
Aljunied(13255),PRSSD,Tang Yoong Chiaw,3,835,7.24
Aljunied(13255),PAP,S. V. Lingam,3,5701,49.40
Anson(9921),PAP,Baharudin bin Mohamed Ariff,5,5167,60.75
Anson(9921),SPA,Goh Kong Beng,5,1875,22.04
Anson(9921),INDP,P. Krishanan,5,116,1.36
Anson(9921),LSP,Tan Cheng Chuan,5,1231,14.47
Anson(9921),INDP,Wong Swee Kee,5,117,1.38
Bras Basah(11193),LSP,Foo Ho Fang,3,1993,20.96
Bras Basah(11193),SPA,Goh Hin Shong,3,1501,15.79
Bras Basah(11193),PAP,Hoe Puay Choo,3,6014,63.25
Bukit Merah(11286),INDP,Lee Choon Eng,3,1073,10.71
Bukit Merah(11286),PAP,Sellappa Ramaswamy,3,5922,59.09
Bukit Merah(11286),SPA,Teo Cheng Hye,3,3026,30.20
Bukit Panjang(11984),INDP,T. K. Alexander,4,526,4.98
Bukit Panjang(11984),PAP,Lee Khoon Choy,4,6156,58.31
Bukit Panjang(11984),SPA,Lim Siak Guan,4,1382,13.09
Bukit Panjang(11984),LSP,Tan Leong Teck,4,2494,23.62
Bukit Timah(11285),INDP,Lee Yew Seng,3,1464,14.50
Bukit Timah(11285),LSP,Pek Cheng Chuan,3,2460,24.36
Bukit Timah(11285),PAP,Yaacob bin Mohamed,3,6174,61.14
Cairnhill(12239),SPA,Lim Yew Hock,4,5275,48.22
Cairnhill(12239),WP,David Marshall,4,2920,26.69
Cairnhill(12239),PAP,Md. Oh Su Chen,4,2262,20.68
Cairnhill(12239),LSP,Tan Keng Siong,4,483,4.41
Changi(11199),PAP,Teo Hock Guan,5,3480,35.10
Changi(11199),SA,A. B. Rahman H. M. Said,5,2818,28.43
Changi(11199),INDP,Lim Cher Kheng,5,2225,22.45
Changi(11199),LSP,Wee Tin Teck,5,1024,10.33
Changi(11199),INDP,Fatimah Nor Bt. G. S.,5,366,3.69
Choa Chu Kang(6889),SPA,Goh Tong Liang,3,1183,18.83
Choa Chu Kang(6889),INDP,Neo Koon Hin,3,1563,24.88
Choa Chu Kang(6889),PAP,Ong Chang Sam,3,3536,56.29
Crawford(12031),PAP,K. M. Byrne,4,7120,66.57
Crawford(12031),LSP,Chua Seng Kian,4,897,8.39
Crawford(12031),INDP,Sim John,4,191,1.79
Crawford(12031),SPA,Teng Ling Siong,4,2487,23.25
Delta(14954),PAP,Chan Choy Sun,4,9301,69.45
Delta(14954),SA,Chia Chee Buang,4,1212,9.05
Delta(14954),LSP,Lim Ah Lee,4,2308,17.23
Delta(14954),SPA,Munusamy Nadarajah,4,571,4.27
Farrer Park(10293),INDP,A. P. Rajah,5,4077,44.52
Farrer Park(10293),INDP,Chan Kooi Chew,5,311,3.40
Farrer Park(10293),INDP,Joseph A.,5,147,1.61
Farrer Park(10293),INDP,Soo-Tho Sin Hee,5,789,8.62
Farrer Park(10293),PAP,Tan Teck Ngiap alias Chen Ta-Ren,5,3832,41.85
Geylang East(15562),INDP,Mak Pak Shee,3,842,6.11
Geylang East(15562),PAP,Mohamed Ismail bin Abdul Rahim,3,7153,51.95
Geylang East(15562),SPA,Ng Cheng Chwee,3,5775,41.94
Geylang Serai(14447),SA,Abdul Hamid bin Haji Jumat,4,7940,63.09
Geylang Serai(14447),PRSSD,Harun bin Mohamed Amin,4,353,2.80
Geylang Serai(14447),PAP,Roshan bin Hassan,4,3832,30.45
Geylang Serai(14447),PMIP,Syed Ahmad Dahlan,4,460,3.66
Geylang West(15528),SPA,Kwek Sam Hock,2,4276,32.40
Geylang West(15528),PAP,Yong Nyuk Lin,2,8923,67.60
Havelock(15919),PAP,Lau Peter,5,9227,63.60
Havelock(15919),SA,K. S. Loke,5,433,2.98
Havelock(15919),INDP,Ng See Thong,5,3562,24.55
Havelock(15919),LSP,Tan Ah Pak,5,323,2.23
Havelock(15919),SPA,Tan Theng Chiang,5,963,6.64
Hong Lim(12667),SA,Loh Ngian Lim,4,1192,10.39
Hong Lim(12667),PAP,Ong Eng Guan,4,8834,77.02
Hong Lim(12667),SPA,Sam Wee Teck,4,588,5.13
Hong Lim(12667),LSP,Tan Hong Chye,4,856,7.46
Jalan Besar(13877),PAP,Chan Chee Seng,4,7600,62.48
Jalan Besar(13877),LSP,Lo Ka Fat,4,1488,12.23
Jalan Besar(13877),SLF,See Eng Kiat,4,503,4.14
Jalan Besar(13877),SPA,Wong Yew Hon,4,2573,21.15
Jalan Kayu(8690),SPA,M. P. D. Nair,2,2929,37.72
Jalan Kayu(8690),PAP,Tan Cheng Tong,2,4837,62.28
Joo Chiat(15257),INDP,Henry Chong,5,320,2.39
Joo Chiat(15257),PAP,Fong Kim Heng,5,5301,39.63
Joo Chiat(15257),LSP,Gay Wan Guay,5,1215,9.08
