district,party,candidates,votes,pct_votes
Alexandra(18163),PAP,Tan Soo Khoon,Uncontested,0
Aljunied(17017),PAP,Chin Harn Tong,13313,84.59
Aljunied(17017),UF,Sim Peng Kim,2425,15.41
Ang Mo Kio(22542),UPF,Ang Bee Lian,3830,18.01
Ang Mo Kio(22542),PAP,Yeo Toon Chia,17436,81.99
Anson(15077),PAP,C V Devan Nair,11564,84.10
Anson(15077),UPF,Santhi Thevar,2187,15.90
Ayer Rajah(15787),SJP,A R Suib,2470,16.61
Ayer Rajah(15787),PAP,Tan Cheng Bock,12400,83.39
Bedok(20852),PKMS,Abdul Rahman Bin Mohamed Zin,3527,18.01
Bedok(20852),PAP,S Jayakumar,14691,75.03
Bedok(20852),UPF,Thomas Anthony Tay,1362,6.96
Boon Lay(21317),PAP,Goh Chee Wee,15005,74.19
Boon Lay(21317),UF,Tan Chee Kien,5220,25.81
Boon Teck(18705),BS,Lee Siew Choh,5571,31.86
Boon Teck(18705),PAP,Liew Kok Pun,11917,68.14
Braddell Heights(14519),PAP,Lee Khoon Choy,Uncontested,0
Brickworks(13054),PAP,Ahmad Bin Mohamed Mattar,Uncontested,0
Bukit Batok(18275),PAP,Chai Chong Yii,Uncontested,0
Bukit Ho Swee(12435),PAP,Seah Mui Kok,Uncontested,0
Bukit Merah(19046),PAP,Lim Chee Onn,Uncontested,0
Bukit Panjang(23305),PAP,Lee Yiok Seng,18510,87.03
Bukit Panjang(23305),UPF,Mohd Sani,2759,12.97
Bukit Timah(15334),PAP,Chor Yeok Eng,Uncontested,0
Buona Vista(17287),PAP,Ang Kok Peng,Uncontested,0
Cairnhill(18133),SDP,Fok Tai Loy,4498,28.21
Cairnhill(18133),PAP,Wong Kwei Cheong,11444,71.79
Changi(25464),PAP,Teo Chong Tee,Uncontested,0
Cheng San(17044),WP,Choong Chee Kwong,3911,24.11
Cheng San(17044),PAP,Lee Yock Suan,12312,75.89
Chong Boon(13877),PAP,Chandra Das,Uncontested,0
Chua Chu Kang(22363),PAP,Tang See Chim,Uncontested,0
Clementi(15129),PAP,Bernard Chen Tien Lap,12162,85.42
Clementi(15129),UPF,S Munjeet,2076,14.58
Delta(14830),PAP,Yeo Choo Kok,Uncontested,0
Geylang Serai(19962),PAP,Othman Haron Eusofe,13195,71.99
Geylang Serai(19962),UF,Seow Khee Leng,5134,28.01
Geylang West(22298),UPF,Long B Abdullah,2994,14.55
Geylang West(22298),PAP,Teh Cheang Wan,17585,85.45
Havelock(12524),PAP,Hon Sui Sen,Uncontested,0
Henderson(18353),PAP,Lai Tha Chai,13363,77.42
Henderson(18353),WP,Lim Kang Chew,3897,22.58
Jalan Besar(15058),PAP,Chan Chee Seng,Uncontested,0
Jalan Kayu(23766),PAP,Hwang Soo Jin,15275,69.02
Jalan Kayu(23766),WP,M P D Nair,6855,30.98
Joo Chiat(12805),SDP,Soon Kia Seng,2973,25.82
Joo Chiat(12805),PAP,Yeoh Ghim Seng,8542,74.18
Jurong(18658),PAP,Ho Kah Leong,Uncontested,0
Kaki Bukit(21318),UPF,Atim B Ismail,1496,7.44
Kaki Bukit(21318),PKMS,Ibrahim Ariff,4072,20.24
Kaki Bukit(21318),PAP,Saidi Shariff,14550,72.32
Kallang(16222),PAP,Suppiah Dhanabalan,Uncontested,0
Kampong Chai Chee(20237),PAP,Fong Sip Chee,15421,81.22
Kampong Chai Chee(20237),UF,Leong Yew Thong,3565,18.78
Kampong Glam(17241),PAP,S Rajaratnam,Uncontested,0
Kampong Kembangan(15854),PKMS,Jamal Bin Idris,3023,21.26
Kampong Kembangan(15854),PAP,Mansor Bin Sukaimi,11194,78.74
Kampong Ubi(16250),PKMS,Sahid Bin Sahooman,2813,18.72
Kampong Ubi(16250),UPF,Sh Ahmad Salim,1113,7.41
Kampong Ubi(16250),PAP,Wan Hussin Zoohri,11102,73.87
Katong(12041),PAP,De Conceicao Joseph Francis,Uncontested,0
Kebun Baru(17709),UPF,Jantan B Taib,943,5.73
Kebun Baru(17709),PAP,Lim Boon Heng,13632,82.83
Kebun Baru(17709),UF,Lim Tiong Hock,1883,11.44
Khe Bong(15425),PAP,Ho See Beng,10497,72.42
Khe Bong(15425),BS,Sim Say Chuan,3998,27.58
Kim Keat(20781),PAP,Ong Teng Cheong,Uncontested,0
Kim Seng(14734),WP,Seow Yong Chew,2682,19.45
Kim Seng(14734),PAP,Yeo Ning Hong,11109,80.55
Kolam Ayer(22775),UF,Mohamed Monsor Rahman,4155,19.65
Kolam Ayer(22775),PAP,Sidek B Saniff,16995,80.35
Kreta Ayer(11973),PAP,Goh Keng Swee,Uncontested,0
Kuo Chuan(17471),PAP,P Selvadurai,12378,75.92
Kuo Chuan(17471),BS,Sim Chit Giak,3925,24.08
Leng Kee(15166),PAP,Ow Chin Hock,Uncontested,0
MacPherson(18997),PAP,Chua Sian Chin,15280,86.89
MacPherson(18997),UPF,Haji Darus Shariff,2306,13.11
Marine Parade(21903),PAP,Goh Chok Tong,Uncontested,0
Moulmein(16999),PAP,Sia Khoon Seong,Uncontested,0
Mountbatten(14045),PAP,Yap Giau Cheng Eugene,Uncontested,0
Nee Soon(16817),PAP,Koh Lip Lin,Uncontested,0
Pasir Panjang(17743),PAP,Abbas Abu Amin,11824,72.57
Pasir Panjang(17743),WP,Zainul Abiddin B Mohd Shah,4470,27.43
Paya Lebar(11666),PAP,Sia Kah Hui,Uncontested,0
Potong Pasir(10068),SDP,Chiam See Tong,3821,40.95
Potong Pasir(10068),PAP,Howe Yoon Chong,5509,59.05
Punggol(23333),UF,Chua Nguan Key,4585,21.14
Punggol(23333),PAP,Ng Kah Ting,17103,78.86
Queenstown(17450),PAP,Jek Yeun Thong,Uncontested,0
Radin Mas(18854),PAP,M K A Jabbar,11335,64.07
Radin Mas(18854),WP,Wong Hong Toy,6356,35.93
River Valley(14950),PAP,Tay Eng Soon,Uncontested,0
Rochore(14705),PAP,Toh Chin Chye,Uncontested,0
Sembawang(17785),UPF,Harbans Singh,3035,18.45
Sembawang(17785),PAP,Tony Tan Keng Yam,13415,81.55
Serangoon Gardens(16973),PAP,Lau Teik Soon,Uncontested,0
Siglap(16675),PAP,A Rahim Ishak,11564,77.91
Siglap(16675),WP,R G Scharenguivel,3278,22.09
Tampines(18982),UPF,Kasim B Ibrahim,2469,14.08
Tampines(18982),PAP,Phua Bah Lee,15065,85.92
Tanah Merah(15711),PAP,Lee Chiaw Meng,Uncontested,0
Tanglin(13332),PAP,Barker Edmund William,Uncontested,0
Tanjong Pagar(13765),PAP,Lee Kuan Yew,11730,92.74
Tanjong Pagar(13765),UPF,Lee Mun Hung,363,2.87
Tanjong Pagar(13765),UF,Wee Lai Seng Johnny,555,4.39
Telok Ayer(12381),PAP,Ong Pang Boon,Uncontested,0
Telok Blangah(18314),WP,J B Jeyaretnam,8141,46.98
Telok Blangah(18314),PAP,Rohan Bin Kamis,9187,53.02
Thomson(14786),PAP,Chau Sik Ting,Uncontested,0
Tiong Bahru(18077),PAP,Chng Jit Koon,Uncontested,0
Toa Payoh(13799),PAP,Cheong Yuen Chee,9872,76.73
Toa Payoh(13799),BS,Ng Ho,2994,23.27
Ulu Pandan(22048),PAP,Chiang Hai Ding,Uncontested,0
West Coast(18949),SJP,M Ramasamy,2801,15.57
West Coast(18949),PAP,Wan Soon Bee,15185,84.43
Whampoa(19131),PAP,Tan Hui Heng Augustine,Uncontested,0
Yio Chu Kang(14012),PAP,Lau Ping Sum,11607,87.53
Yio Chu Kang(14012),UPF,L S Piaro,1653,12.47
