district,party,candidates,candidates_count,votes,pct_votes
Kallang(16974),BS,Dr. P. Oorijitham,5,5215,32.11
Kallang(16974),INDP,Tan Hai Tong,5,411,2.53
Kallang(16974),SA,Tan Hock Lim,5,969,5.97
Kampong Glam(10186),UPP,Harbans Singh,3,1224,12.71
Kampong Glam(10186),PAP,Rajaratnam S.,3,4313,44.79
Kampong Glam(10186),BS,Tan Jing Quee,3,4093,42.50
Kampong Kapor(11672),SA,Chia Ban Wei,4,1006,9.27
Kampong Kapor(11672),BS,Lim Hock Thiam,4,4155,38.27
Kampong Kapor(11672),PAP,M. Awang,4,4554,41.93
Kampong Kapor(11672),UPP,Nalliah Karuppiah,4,1143,10.53
Kampong Kembangan(15787),SA,Ali Alwi,5,3692,25.03
Kampong Kembangan(15787),PAP,Ariff B. Suradi Mohamed,5,7127,48.31
Kampong Kembangan(15787),UPP,Ibrahim B. Jaffar,5,914,6.20
Kampong Kembangan(15787),PMIP,Mohd. Dali B. Muin,5,344,2.33
Kampong Kembangan(15787),PRSSD,Saleha Binte Md. Shah,5,2674,18.13
Kreta Ayer(13103),PAP,Goh Keng Swee,3,8059,65.47
Kreta Ayer(13103),BS,Lau Peter,3,3646,29.62
Kreta Ayer(13103),UPP,Loke Wan,3,604,4.91
Moulmein(10670),PAP,Mrs. Devan Nair,5,5856,58.00
Moulmein(10670),SA,Koh Chiat Lim,5,542,5.37
Moulmein(10670),UPP,Neo Hay Chan,5,575,5.69
Moulmein(10670),INDP,Soo Tho Siu Hee,5,73,0.72
Moulmein(10670),BS,Tann Wee Tiong,5,3051,30.22
Mountbatten(16843),BS,Fung Yin Ching,4,5158,32.59
Mountbatten(16843),SA,Lee Kim Chuan,4,1865,11.78
Mountbatten(16843),PAP,Ng Yeow Chong,4,7751,48.97
Mountbatten(16843),INDP,Mrs. Leon-Soh,4,1053,6.66
Nee Soon(10064),BS,Chan Sun Wing,5,4914,51.33
Nee Soon(10064),UPP,Goh Soo Ming,5,864,9.02
Nee Soon(10064),PAP,How Kang Yong,5,3329,34.77
Nee Soon(10064),INDP,Lim Siak Guan,5,103,1.08
Nee Soon(10064),SA,Yeo Teo Bok,5,364,3.80
Pasir Panjang(6721),SA,Ahmad b.Rahmat,4,1351,21.26
Pasir Panjang(6721),PAP,Othman b. Wok,4,2879,45.30
Pasir Panjang(6721),BS,Tay Cheng Kang,4,1887,29.69
Pasir Panjang(6721),UPP,Yong Ah Kau,4,238,3.75
Paya Lebar(13544),SA,Goh Yeow Dek,4,415,3.24
Paya Lebar(13544),BS,Kow Kee Seng,4,6152,47.96
Paya Lebar(13544),PAP,Tan Kia Gan,4,5402,42.11
Paya Lebar(13544),UPP,Yeo Keng Wee,4,858,6.69
Punggol(10294),BS,Koh Chit Kiang,4,2860,28.93
Punggol(10294),UPP,Lee Jiak Seck,4,984,9.96
Punggol(10294),PAP,Ng Kah Ting,4,4721,47.76
Punggol(10294),SA,Tan Jin Hong,4,1320,13.35
Queenstown(16133),PAP,Jek Yuen Thong,4,8165,52.81
Queenstown(16133),BS,Lee Ek Chong,4,5589,36.15
Queenstown(16133),SA,Lee Khee Loong,4,798,5.16
Queenstown(16133),UPP,Ng Ho,4,909,5.88
River Valley(10532),UPP,Chung Kit Wong,4,455,4.61
River Valley(10532),BS,Goh Lam San,4,2668,27.01
River Valley(10532),PAP,Lim Cheng Lock,4,5597,56.67
River Valley(10532),SA,Yap Pheng Geck,4,1156,11.71
Rochore(11698),BS,Lee Siew Choh,3,4926,44.75
Rochore(11698),UPP,Pan Tiek Tai,3,1067,9.69
Rochore(11698),PAP,Toh Chin Chye,3,5015,45.56
Sembawang(9329),BS,Chen Poh Chang,4,3591,40.43
Sembawang(9329),UPP,Low Seng Wan,4,348,3.92
Sembawang(9329),SA,Appavoo P.,4,1197,13.48
Sembawang(9329),PAP,Teong Eng Siong,4,3745,42.17
Sepoy Lines(10046),SA,Goh Su Chiang,4,793,8.44
Sepoy Lines(10046),BS,Ong Chang Sam,4,3147,33.51
Sepoy Lines(10046),UPP,Tan Choon Sing,4,545,5.80
Sepoy Lines(10046),PAP,Wee Toon Boon,4,4907,52.25
Serangoon Gardens(8765),SA,Choy Kok Wah,4,455,5.45
Serangoon Gardens(8765),PAP,R. A. Gonzales,4,4456,53.40
Serangoon Gardens(8765),BS,Ng Hui Sim,4,2698,32.33
Serangoon Gardens(8765),UPP,Ng Teo Joo,4,736,8.82
Siglap(15915),PAP,A. Rahim Ishak,5,9342,62.12
Siglap(15915),INDP,Koh Tee Kin,5,225,1.50
Siglap(15915),UPP,Ong Jin Teck,5,1365,9.08
Siglap(15915),SA,Soo Ban Hoe,5,1488,9.89
Siglap(15915),PRSSD,Tay Check Yaw,5,2618,17.41
Southern Islands(5236),SA,Ahmad Jabri b. Akib,2,2224,44.59
Southern Islands(5236),PAP,Yaacob bin Mohamed,2,2764,55.41
Stamford(11628),PAP,Fong Sip Chee,4,5781,53.27
Stamford(11628),UPP,Lim Chung Min,4,771,7.10
Stamford(11628),SA,Lai Behari Singh,4,582,5.36
Stamford(11628),BS,Teo Hock Guan,4,3719,34.27
Tampines(13137),PAP,Goh Chew Chua,4,3601,29.13
Tampines(13137),UPP,Liam Tian Seng,4,2130,17.23
Tampines(13137),SA,Lim Jew Kan,4,656,5.31
Tampines(13137),BS,Poh Ber Liak,4,5976,48.33
Tanglin(9239),INDP,Ariffin b. Md Said,5,166,1.92
Tanglin(9239),PAP,E. W. Barker,5,4424,51.07
Tanglin(9239),UPP,Eng Chau Sam,5,336,3.88
Tanglin(9239),BS,Tan Cheow Hock,5,1997,23.06
Tanglin(9239),SA,Thio Chan Bee,5,1738,20.07
Tanjong Pagar(11395),SA,Chng Boon Eng,4,393,3.67
Tanjong Pagar(11395),PAP,Lee Kwan Yew,4,6317,58.93
Tanjong Pagar(11395),UPP,Lim Peng Kang,4,473,4.41
Tanjong Pagar(11395),BS,Ong Hock Siang,4,3537,32.99
Telok Ayer(13219),UPP,Goh Hong Keng,4,1484,12.12
Telok Ayer(13219),BS,Lam Chit Lee,4,4987,40.72
Telok Ayer(13219),PAP,Ong Pang Boon,4,5390,44.01
Telok Ayer(13219),INDP,Wang Chung Kwang,4,385,3.15
Telok Blangah(13263),SA,Abdul Rahman,4,2627,21.14
Telok Blangah(13263),BS,Jukri b. Parjo,4,4327,34.82
Telok Blangah(13263),PAP,Bernard Rodrigues,4,4949,39.82
Telok Blangah(13263),UPP,Tan Swee Huat,4,525,4.22
Thomson(11336),BS,Koo Young,3,5292,49.17
Thomson(11336),PAP,Leo Keng Fong,3,4248,39.47
Thomson(11336),UPP,Loo Ka Thiam,3,1223,11.36
Tiong Bahru(12534),PAP,Lee Teck Him,5,5731,48.15
Tiong Bahru(12534),UPP,Ng Teng Kian,5,1088,9.14
Tiong Bahru(12534),BS,Soon Dit Woo,5,3798,31.91
Tiong Bahru(12534),SA,Tan Kok Siong,5,508,4.27
Tiong Bahru(12534),INDP,William Tan,5,777,6.53
Toa Payoh(13394),UPP,Goh Nee Kim,4,1501,11.89
Toa Payoh(13394),UDP,Tan Chor Yong,4,760,6.03
Toa Payoh(13394),BS,Wong Soon Fong,4,6083,48.20
Toa Payoh(13394),PAP,Yip Sai Weng,4,4276,33.88
Ulu Pandan(11866),SA,Anang b. H. A. Manan,4,1729,15.51
Ulu Pandan(11866),PAP,Chow Chiok Hock,4,5000,44.86
Ulu Pandan(11866),PRSSD,Johari bin Sonto,4,2967,26.62
Ulu Pandan(11866),UPP,Ler Chin Tee,4,1450,13.01
Upper Serangoon(12433),BS,Chia Yang Loong,5,3547,30.17
Upper Serangoon(12433),INDP,Lim Choon Mong,5,573,4.87
Upper Serangoon(12433),UPP,Phua Gek Boon,5,595,5.06
Upper Serangoon(12433),PAP,Sia Kah Hui,5,6650,56.56
Upper Serangoon(12433),SA,Wu Moh Chye,5,393,3.34
