district,party,candidates,candidates_count,votes,pct_votes
Aljunied(16152),SA,Lim Koon Teck,4,1681,11.05
Aljunied(16152),PAP,S. V. Lingam,4,7745,50.90
Aljunied(16152),BS,Thio Kheng Lock,4,4624,30.39
Aljunied(16152),UPP,Woo Kong Seng,4,1165,7.66
Anson(9192),BS,Chan Chong Keen,6,3123,37.02
Anson(9192),WP,Chiang Seok Keong,6,91,1.08
Anson(9192),SA,A. K. Isaac,6,543,6.44
Anson(9192),INDP,David Marshall,6,416,4.93
Anson(9192),PAP,P. Govindasamy,6,3957,46.90
Anson(9192),UPP,Vythalingam V.,6,306,3.63
Bras Basah(10678),WP,Chua Chin Kiat,5,114,1.20
Bras Basah(10678),PAP,Ho See Beng,5,4926,51.80
Bras Basah(10678),BS,Leong Kwan Fai,5,3831,40.28
Bras Basah(10678),UPP,Pan Cheng Luan,5,335,3.52
Bras Basah(10678),SA,Wong Chin Sen,5,304,3.20
Bukit Merah(12225),BS,Lim Huan Boon,5,4963,42.84
Bukit Merah(12225),INDP,Ngon Eng Kok,5,232,2.00
Bukit Merah(12225),UPP,Poon Weng Ying,5,1129,9.75
Bukit Merah(12225),PAP,Sellappa Ramaswamy,5,4520,39.02
Bukit Merah(12225),SA,Shums Tung Tao Chang,5,740,6.39
Bukit Panjang(12997),PAP,Lee Khoon Choy,4,4940,40.41
Bukit Panjang(12997),SA,Loo Bah Chit,4,999,8.17
Bukit Panjang(12997),BS,Ong Lian Teng,4,5679,46.45
Bukit Panjang(12997),UPP,Thuan Paik Phok,4,607,4.97
Bukit Timah(12502),PAP,Chor Yeok Eng,3,4982,42.28
Bukit Timah(12502),BS,Lee Tee Tong,3,6173,52.39
Bukit Timah(12502),UPP,Ong Tiong Kuan,3,628,5.33
Cairnhill(12340),SA,Lee Ah Seong,3,1467,12.59
Cairnhill(12340),BS,Lim Ang Chuan,3,2443,20.95
Cairnhill(12340),PAP,Lim Kim San,3,7749,66.46
Changi(11866),UPP,Abdullah Masood,5,935,8.32
Changi(11866),SA,Dato Syed Esa,5,1975,17.57
Changi(11866),INDP,M. N. Yahya,5,95,0.85
Changi(11866),BS,Siek Shing Min,5,3425,30.48
Changi(11866),PAP,Sim Boon Woo,5,4808,42.78
Choa Chu Kang(8198),BS,Chio Cheng Thun,5,3753,48.59
Choa Chu Kang(8198),INDP,Goh Tong Liang,5,345,4.47
Choa Chu Kang(8198),PAP,Lim Kim Hian,5,2429,31.45
Choa Chu Kang(8198),SA,Neo Guan Choo,5,396,5.13
Choa Chu Kang(8198),UPP,Sim Chit Giak,5,800,10.36
Crawford(10949),PAP,K. M. Byrne,5,4207,40.88
Crawford(10949),SA,S. A. Hsieh,5,571,5.55
Crawford(10949),UPP,Lau Tok Keong,5,1032,10.03
Crawford(10949),BS,T. Bani,5,4400,42.75
Crawford(10949),WP,Wong Hong Toy,5,81,0.79
Delta(14037),PAP,Chan Choy Siong,4,5417,40.53
Delta(14037),UPP,Chen Chia Kuang,4,2233,16.71
Delta(14037),BS,Wee Toon Lip,4,5354,40.07
Delta(14037),INDP,Wong Kui Yu,4,359,2.69
Farrer Park(10189),BS,Lee Chin Siang,4,2619,27.20
Farrer Park(10189),SA,A. P. Rajah,4,1232,12.79
Farrer Park(10189),PAP,S. Rajoo,4,5365,55.71
Farrer Park(10189),UPP,Wee Kia Eng,4,414,4.30
Geylang East(16014),PAP,Ho Cheng Choon,4,7165,47.28
Geylang East(16014),SA,Ng Cheng Chwee,4,1467,9.68
Geylang East(16014),BS,Phua Soon Lian,4,5389,35.56
Geylang East(16014),UPP,Tan Peng Seah,4,1134,7.48
Geylang Serai(15302),SA,Ahmad b. Hj. Taff,4,5019,35.85
Geylang Serai(15302),INDP,Darus Shariff,4,1059,7.56
Geylang Serai(15302),PMIP,M. Taha Suhaimi,4,1201,8.58
Geylang Serai(15302),PAP,Rahmat Bin Kenap,4,6722,48.01
Geylang West(15386),UPP,Kum Teng Hock,4,1541,10.69
Geylang West(15386),SA,Mohd. B. Hj. Yacob,4,914,6.34
Geylang West(15386),BS,Un Hon Kun,4,5670,39.34
Geylang West(15386),PAP,Yong Nyuk Lin,4,6288,43.63
Havelock(15159),SA,Lim Ser Puan,4,641,4.48
Havelock(15159),BS,Loh Miaw Gong,4,6304,44.05
Havelock(15159),UPP,Ng Chee Sen,4,3209,22.42
Havelock(15159),PAP,Wong Chun Choi,4,4157,29.05
Hong Lim(12003),BS,Lim Chien Sen,4,2344,20.58
Hong Lim(12003),UPP,Ong Eng Guan,4,5066,44.47
Hong Lim(12003),SA,Sam Tai Guan,4,191,1.68
Hong Lim(12003),PAP,Seah Mui Kok,4,3789,33.27
Jalan Besar(13764),PAP,Chan Chee Seng,3,6686,51.87
Jalan Besar(13764),BS,Ng Ngeong Yew,3,5172,40.12
Jalan Besar(13764),UPP,Yong Wan Kit,3,1033,8.01
Jalan Kayu(9164),UPP,Lui Boon Phor,5,1146,13.16
Jalan Kayu(9164),SA,M. P. D. Nair,5,1057,12.14
Jalan Kayu(9164),INDP,Ong Yu Thoh,5,516,5.93
Jalan Kayu(9164),BS,Tan Cheng Tong,5,3312,38.04
Jalan Kayu(9164),PAP,Teo Hup Teck,5,2676,30.73
Joo Chiat(14966),PAP,Dr. Fong Kim Heng,3,9300,65.88
Joo Chiat(14966),BS,Leong Keng Seng,3,3737,26.48
Joo Chiat(14966),SA,Mrs Seow Peck Leng,3,1078,7.64
Jurong(7611),BS,Chia Thye Poh,4,3973,55.85
Jurong(7611),PAP,Ong Soo Chuan,4,2268,31.89
Jurong(7611),UPP,Soh U Loh,4,501,7.04
Jurong(7611),SA,Wong Tuck Leong,4,371,5.22
Kallang(16974),PAP,Buang b. Omar Junid,5,8479,52.21
Kallang(16974),UPP,Mohd. Shariff B. D.,5,1166,7.18
