district,party,candidates,candidates_count,votes,pct_votes
Aljunied(145141),WP,Goh Meng SengJames GomezLim Swee Lian SylviaMohd Rahizan Bin YaacobTan Wui-Hua,2,58593,43.91
Aljunied(145141),PAP,Lim Hwee HuaCynthia PhuaYeo Guat KwangGeorge Yong-Boon YeoZainul Abidin Rasheed,2,74843,56.09
Ang Mo Kio(159872),WP,Abdul Salim Bin HarunGopal KrishnanHan Su MayLee Wai LengTan Kian Hwee MelvinYaw Shin Leong,2,49479,33.86
Ang Mo Kio(159872),PAP,Inderjit SinghLam Pin MinLee Bee WahLee Hsien LoongSadasivan BalajiWee Siew Kim,2,96636,66.14
Bishan - Toa Payoh(115323),PAP,Hri Kumar SangaranNg Eng HenJosephine TeoWong Kan SengZainudin Bin Nordin,2,Uncontested,0
Bukit Panjang(30452),SDP,Ling How Doong,2,6400,22.81
Bukit Panjang(30452),PAP,Teo Ho Pin,2,21652,77.19
Chua Chu Kang(24975),SDA,Steve Chia,2,9292,39.63
Chua Chu Kang(24975),PAP,Gan Kim Yong,2,14156,60.37
East Coast(116653),WP,Abdul RahimChia Ti LikBrandon SiowEric TanPerry Tong,2,37873,36.14
East Coast(116653),PAP,Abdullah TarmugiLee Yi ShyanLim Siang Keat RaymondS JayakumarTan Soon Neo Jessica,2,66931,63.86
Holland-Bukit Timah(118155),PAP,Christopher De SouzaFoo Yee ShoonLiang Eng HwaLim Swee SayVivian Balakrishnan,2,Uncontested,0
Hong Kah(144677),PAP,Ang Mong SengKhor Lean Suan AmyYeo Cheow TongYeo Khirn Hai AlvinZaqy B Mohamad,2,Uncontested,0
Hougang(23759),PAP,Eric Low Siak Meng,2,8308,37.26
Hougang(23759),WP,Low Thia Khiang,2,13989,62.74
Jalan Besar(93025),SDA,Cheo Chai ChenFong Chin LeongMuhamad Ali AmanTeo Kway Huang SebastianYeo Boon Keng Vincent,2,26151,30.74
Jalan Besar(93025),PAP,Heng Chee HowLee Boon YangLily NeoPhua Lay Peng DeniseYaacob Ibrahim,2,58913,69.26
Joo Chiat(21858),PAP,Chan Soo Sen,2,12226,65.01
Joo Chiat(21858),WP,Tan Bin Seng,2,6580,34.99
Jurong(116636),PAP,Fu Hai Yien GraceHalimah Binte YacobLim Boon HengOng Chit ChungTharman Shanmugaratnam,2,Uncontested,0
MacPherson(21041),SDA,Sin Kek Tong,2,6067,31.52
MacPherson(21041),PAP,Matthias Yao Chih,2,13184,68.48
Marine Parade(155149),PAP,Fatimah Binte Abdul LateefGoh Chok TongLim Biow ChuanMuhammad Faishal bin Ibrahim Khan&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SuratteeOng Seh HongSeah Kian Peng,2,Uncontested,0
Nee Soon Central(23152),WP,Lian Chin Way,2,7529,34.63
Nee Soon Central(23152),PAP,Ong Ah Heng,2,14211,65.37
Nee Soon East(32586),PAP,Ho Peng Kee,2,20949,68.72
Nee Soon East(32586),WP,Poh Lee Guan,2,9535,31.28
Pasir Ris-Punggol(178443),PAP,Ahmad MagadChong You Fook CharlesLow PennyMichael PalmerTeo Chee HeanTeo Ser Luck,2,113322,68.70
Pasir Ris-Punggol(178443),SDA,Ishak HarounLee Hock HuatLim Bak ChuanMohd Hamim AliyasOng Beng Soon ElvinYen Kim Khooi,2,51618,31.30
Potong Pasir(15888),SDA,Chiam See Tong,2,8245,55.82
Potong Pasir(15888),PAP,Sitoh Yih Pin,2,6527,44.18
Sembawang(184804),SDP,Chee Siok ChinMohamed Isa Bin Abdul AzizNarayanasamy GogelavanyNeo Ting Wei ChristopherSng Choon GuanYong Chu Leong,2,39537,23.30
Sembawang(184804),PAP,Hawazi DaipiKhaw Boon WanEllen Lee Geck HoonLim Wee KiakMohd Maliki OsmanShanmugam K,2,130170,76.70
Tampines(126163),SDA,Abdul Rahman Bin MohamadLim Tung HeeNg Say EngOng Hock SiongTan Lead Shake,2,36948,31.49
Tampines(126163),PAP,Mah Bow TanMasagos Zulkifli B M MNg Phek Hoong IreneOng Kian MinSin Boon Ann,2,80376,68.51
Tanjong Pagar(148141),PAP,Baey Yam KengIndranee Thurai RajahKoo Tsai KeeLee Kuan YewLui Tuck YewTan Chin Siong,2,Uncontested,0
West Coast(137739),PAP,Fong Jen ArthurFoo Chee Keng CedricHo Geok Choo MadeleineLim Hng KiangIswaran S,2,Uncontested,0
Yio Chu Kang(25072),PAP,Seng Han Thong,2,15726,68.28
Yio Chu Kang(25072),SDA,Yip Yew Weng,2,7307,31.72
