district,party,candidates,candidates_count,votes,pct_votes
Cairnhill(23197),SDP,Jimmy Tan Tiang Hoe,2,7194,36.02
Cairnhill(23197),PAP,Wong Kwei Cheong,2,12779,63.98
Changi(17145),WP,Chiam Yeow Juan,2,6431,40.63
Changi(17145),PAP,Teo Chong Tee,2,9398,59.37
Cheng San(56352),PAP,Chandra Das SHeng Chiang MengLee Yock Suan,1,Uncontested,0
Chua Chu Kang(19628),WP,Goh Seng Soon,2,7597,40.72
Chua Chu Kang(19628),PAP,Low Seow Chay,2,11058,59.28
Eunos(75723),PAP,Chew Heng ChingTay Eng SoonZulkifli Mohammed,2,36500,50.89
Eunos(75723),WP,Lee Siew ChohMohd Khalit B Md BabooFrancis Seow,2,35221,49.11
Fengshan(17389),PAP,Arthur Beng Kian Lam,2,9507,57.92
Fengshan(17389),WP,Chng Chin Siah,2,6907,42.08
Hong Kah(67431),PAP,A Nasser KamaruddinJohn Chen Seow PhunYeo Cheow Tong,2,Uncontested,0
Hougang(21703),WP,Lim Chiu Liang,2,8342,41.04
Hougang(21703),PAP,Tang Guan Seng,2,11983,58.96
Jalan Besar(54941),PAP,Lee Boon YangPeh Chin HuaSidek Bin Saniff,2,31604,62.68
Jalan Besar(54941),WP,Marsh Edmund RichardMohamed Bin IdrisToh Keng Thong @ Toh Keng Tong,2,18814,37.32
Jurong(21420),PAP,Ho Kah Leong,2,14769,75.17
Jurong(21420),PKMS,Mohamed Awang,2,4879,24.83
Kallang(21245),WP,A L Sundram,2,6707,33.87
Kallang(21245),PAP,S Dhanabalan,2,13097,66.13
Kampong Glam(21773),WP,Frederick De Wind,3,5800,31.17
Kampong Glam(21773),PAP,Loh Meng See,3,12525,67.32
Kampong Glam(21773),AI,M Sani Jan,3,280,1.51
Kebun Baru(22515),PAP,Lim Boon Heng,2,15734,75.36
Kebun Baru(22515),NSP,Mohamed Affendy Bin Abdul Rahim,2,5145,24.64
Kim Keat(15850),SDP,Md Shariff Bin Yahya,2,3937,27.00
Kim Keat(15850),PAP,Ong Teng Cheong,2,10644,73.00
Kim Seng(18474),WP,Chin Tian Choo,2,5670,33.10
Kim Seng(18474),PAP,Yeo Ning Hong,2,11460,66.90
Kreta Ayer(21470),PAP,Hu Tsu Tau,2,13158,70.50
Kreta Ayer(21470),WP,Loh Fook Cheong,2,5507,29.50
Leng Kee(21964),WP,Chua Chwee Huat Peter,2,7192,35.04
Leng Kee(21964),PAP,Ow Chin Hock,2,13334,64.96
MacPherson(17063),PAP,Chua Sian Chin,2,10453,65.98
MacPherson(17063),NSP,Kum Teng Hock,2,5390,34.02
Marine Parade(62385),JPS,A R SuibM RamasamyTheng Chin Eng,2,14660,26.19
Marine Parade(62385),PAP,Choo Wee KhiangGoh Chok TongOthman Haron Eusofe,2,41325,73.81
Moulmein(19229),WP,A Balakrishnan,2,5817,33.92
Moulmein(19229),PAP,Sia Khoon Seong,2,11334,66.08
Mountbatten(17747),INDP,Chiam Pan Boon,2,3554,21.85
Mountbatten(17747),PAP,Yap Giau Cheng Eugene,2,12712,78.15
Nee Soon Central(24403),SDP,Cheo Chai Chen,3,8944,38.46
Nee Soon Central(24403),UPF,Giam Lai Cheng,3,914,3.93
Nee Soon Central(24403),PAP,Ng Pock Too,3,13396,57.61
Nee Soon South(22542),PAP,Koh Lip Lin,3,13793,64.88
Nee Soon South(22542),UPF,Munjeet Singh,3,932,4.39
Nee Soon South(22542),SDP,Yong Chu Leong,3,6533,30.73
Pasir Panjang(66600),PAP,Abbas Abu AminBernard Chen Tien LapWan Soon Bee,2,38545,61.57
Pasir Panjang(66600),WP,Gan Eng GuanMohd Taib SattarWee Han Kim,2,24059,38.43
Paya Lebar(25076),SDP,Chew David,2,11240,47.64
Paya Lebar(25076),PAP,Philip Tan Tee Yong,2,12352,52.36
Potong Pasir(19852),PAP,Kenneth Chen Koon Lap,2,6893,36.87
Potong Pasir(19852),SDP,Chiam See Tong,2,11804,63.13
Punggol(31577),SDP,Abdul Rasheed s/o Y Abdul Kuthus,2,12017,40.15
Punggol(31577),PAP,Ng Kah Ting,2,17914,59.85
Sembawang(55633),UPF,Ang Bee LianKasim Bin IbrahimHarbans Singh,2,15436,29.92
Sembawang(55633),PAP,Chong You Fook CharlesShanmugam KTony Tan Keng Yam,2,36154,70.08
Serangoon Gardens(24831),INDP,Harry Baptist,2,5654,25.83
Serangoon Gardens(24831),PAP,Lau Teik Soon,2,16234,74.17
Siglap(18650),PAP,Abdullah Bin Tarmugi,2,12101,73.73
Siglap(18650),WP,Chong Tung Shang,2,4311,26.27
Tampines(65148),NSP,Abdul Malik Bin AliChan Yeng CheongLim Ah Yong,2,23796,39.00
Tampines(65148),PAP,Mah Bow TanAline WongYatiman Yusof,2,37216,61.00
Tanglin(17497),PAP,Lew Syn Pau,2,Uncontested,0
Tanjong Pagar(19041),PAP,Lee Kwan Yew,2,14043,81.60
Tanjong Pagar(19041),INDP,M G Guru,2,3167,18.40
Teck Ghee(15510),PAP,Lee Hsien Loong,2,11512,79.13
Teck Ghee(15510),INDP,Patrick Leong S C,2,3037,20.87
Telok Blangah(18609),PAP,Koh Lam Son,2,11160,64.21
Telok Blangah(18609),WP,Tan Soo Phuan,2,6220,35.79
Thomson(34886),PAP,Leong Horn Kee,2,21514,67.01
Thomson(34886),SDP,Ng Teck Siong,2,10590,32.99
Tiong Bahru(58898),PAP,Ch'ng Hee KokCh'ng Jit KoonS Vasoo,2,31732,57.84
Tiong Bahru(58898),WP,Lim Lye SoonLow Thia KhiangGopalan Nair,2,23132,42.16
Toa Payoh(49243),PAP,Davinder SinghHo Tat KinWong Kan Seng,1,Uncontested,0
Ulu Pandan(23587),SDP,George Sita,2,6466,30.93
Ulu Pandan(23587),PAP,Dixie Tan-Lee Mo Chun,2,14436,69.07
Whampoa(13819),NSP,Ken Sunn,2,5126,40.53
Whampoa(13819),PAP,Augustine Tan Hui Heng,2,7522,59.47
Yio Chu Kang(15991),PAP,Lau Ping Sum,2,10996,73.67
Yio Chu Kang(15991),NSP,Rasiah Thiagarajah,2,3931,26.33
Yuhua(19190),PAP,Foo Yee Shoon,2,11497,62.96
Yuhua(19190),SDP,Toh Kim Kiat,2,6765,37.04
