district,party,candidates,candidates_count,votes,pct_votes
Aljunied(65351),PAP,Chin Harn TongWan Hussin B H ZoohriGeorge Yong-Boon Yeo,2,34020,56.33
Aljunied(65351),SDP,Mohamed Jufrie B MahmoodNeo Choon AikAshleigh Seow Chuan-Hock,2,26375,43.67
Ang Mo Kio(21744),NSP,Ong Kah Seng,2,7044,34.51
Ang Mo Kio(21744),PAP,Yeo Toon Chia,2,13365,65.49
Ayer Rajah(22532),PAP,Tan Cheng Bock,2,14824,69.55
Ayer Rajah(22532),WP,Tan Song Gek,2,6489,30.45
Bedok(54969),WP,Gertrude De GraciasSaraswathy MurugasonSeow Khee Leng,2,23203,45.08
Bedok(54969),PAP,Hong HaiIbrahim OthmanS Jayakumar,2,28266,54.92
Boon Lay(16646),PAP,Goh Chee Wee,2,11317,71.97
Boon Lay(16646),PKMS,Salleh Mohd Bawthan,2,4408,28.03
Braddell Heights(27019),PAP,Goh Choon Kang,2,14862,58.80
Braddell Heights(27019),SDP,Sin Kek Tong,2,10412,41.20
Brickworks(43117),PAP,Ahmad MattarChay Wai ChuenTan Soo Khoon,2,26870,67.43
Brickworks(43117),WP,J C CoreraGoh Teng HoonIsmail Yaacob,2,12977,32.57
Bukit Batok(24138),SDP,Kwan Yue Keng,2,10139,44.06
Bukit Batok(24138),PAP,Ong Chit Chung,2,12873,55.94
Bukit Gombak(25221),SDP,Ling How Doong,2,11024,46.54
Bukit Gombak(25221),PAP,Seet Ai Mee,2,12661,53.46
Bukit Merah(14723),PAP,Lim Chee Onn,2,9414,69.78
Bukit Merah(14723),WP,Pok Lee Chuen,2,4077,30.22
Bukit Panjang(33824),PKMS,Ibrahim Ariff,3,3790,11.86
Bukit Panjang(33824),SDP,Kwek Guan Kwee,3,9864,30.86
Bukit Panjang(33824),PAP,Lee Yiok Seng,3,18314,57.28
Bukit Timah(20222),PAP,Wang Kai Yuen,2,Uncontested,0
Buona Vista(15850),PKMS,Abdul Karim B Abdul Sattar,3,449,3.13
Buona Vista(15850),SDP,Low Yong Nguan,3,5037,35.11
Buona Vista(15850),PAP,Peter Sung,3,8859,61.76
