district,party,candidates,candidates_count,votes,pct_votes
Aljunied(125115),PAP,Ong Seh HongPhua CynthiaYeo Guat KwangGeorge Yong-Boon YeoZainul Abidin Rasheed,1,Uncontested,0
Ang Mo Kio(166644),PAP,Inderjit SinghLee Hsien LoongSadasivan BalajiSeng Han ThongTan Boon WanWee Siew Kim,2,Uncontested,0
Ayer Rajah(18475),PAP,Tan Cheng Bock,2,15024,87.96
Ayer Rajah(18475),DPP,Tan Lead Shake,2,2057,12.04
Bishan - Toa Payoh(114621),PAP,Davinder SinghLeong Horn KeeNg Eng HenWong Kan SengZainudin Nordin,2,Uncontested,0
Bukit Timah(26951),INDP,Tan Kim Chuang,3,1215,4.92
Bukit Timah(26951),SDA,Tong Meng Chye,3,4376,17.71
Bukit Timah(26951),PAP,Wang Kai Yuen,3,19121,77.37
Chua Chu Kang(24863),SDA,Steve Chia,2,8143,34.66
Chua Chu Kang(24863),PAP,Low Seow Chay,2,15349,65.34
East Coast(144012),PAP,Abdullah TarmugiChew Heng ChingLee Yock SuanLim Siang Keat RaymondS JayakumarTan Soo Khoon,2,Uncontested,0
Holland-Bukit Timah(118834),PAP,Gan Kim YongLim Swee SayDavid Lim Tik EnTeo Ho PinVivian Balakrishnan,1,Uncontested,0
Hong Kah(129073),PAP,Ahmad Khalis Abdul GhaniAng Mong SengJohn ChenAmy Khor Lean SuanYeo Cheow Tong,2,96450,79.74
Hong Kah(129073),SDP,Cheo Chai ChenLim Boon HengLim Tung HeeSarry Bin HassanWong Hong Toy,2,24513,20.26
Hougang(23320),PAP,Eric Low Siak Meng,2,9882,45.02
Hougang(23320),WP,Low Thia Khiang,2,12070,54.98
Jalan Besar(100268),SDA,Fong Chin LeongLim Bak ChuanMohd Rahizan Bin Ya'acobNg Kee HowSin Kek Tong,2,23391,25.51
Jalan Besar(100268),PAP,Heng Chee HowLee Boon YangLoh Meng SeeLily Tirtasana NeoYaacob Bin Ibrahim,2,68309,74.49
Joo Chiat(21745),PAP,Chan Soo Sen,2,15426,83.55
Joo Chiat(21745),INDP,Ooi Boon Ewe,2,3038,16.45
Jurong(115113),SDP,Chee Siok ChinChee Soon JuanGhandi s/o Karuppiah AmbalamMohamed Isa Bin Abdul AzizYeo Boon Keng Vincent,2,21511,20.25
Jurong(115113),PAP,Foo Yee ShoonHalimah Bt YacobLim Boon HengOng Chit ChungShanmugaratnam Tharman,2,84742,79.75
MacPherson(22010),DPP,Tan Soo Phuan,2,3277,16.27
MacPherson(22010),PAP,Matthias Yao Chih,2,16870,83.73
Marine Parade(140174),PAP,Gan Lai ChiangGoh Chok TongMohamad Maidin B P MOthman Haron EusofeR RavindranTan Hwee Hua @ Lim Hwee Hua,1,Uncontested,0
Nee Soon Central(22975),SDP,Ling How Doong,2,4583,21.48
Nee Soon Central(22975),PAP,Ong Ah Heng,2,16755,78.52
Nee Soon East(28465),PAP,Ho Peng Kee,2,19566,73.68
Nee Soon East(28465),WP,Poh Lee Guan,2,6990,26.32
Pasir Ris-Punggol(134151),PAP,Ahmad MagadCharles ChongMichael LimPenny LowTeo Chee Hean,2,Uncontested,0
Potong Pasir(16616),SDA,Chiam See Tong,2,8107,52.43
Potong Pasir(16616),PAP,Sitoh Yih Pin,2,7356,47.57
Sembawang(166137),PAP,Chin Tet YungHawazi B DaipiKasiviswanathan ShanmugamLee Wei Rhen WarrenMohd Maliki B OsmanTony Tan Keng Yam,2,Uncontested,0
Tampines(125432),SDA,Abdul Rahim Bin OsmanFoo Kok WahNeo Ting WeiSebastian Teo K HYip Yew Weng,2,31231,26.66
Tampines(125432),PAP,Mah Bow TanNg Phek Hoong IreneOng Kian MinSin Boon AnnYatiman B Yusof,2,85915,73.34
Tanjong Pagar(141150),PAP,Chay Wai ChuenChong Weng ChiewIndranee Thurai RajahKhaw Boon WanKoo Tsai KeeLee Kuan Yew,2,Uncontested,0
West Coast(110779),PAP,Fong Jen ArthurFoo Chee Keng CedricHo Geok Choo MadeleineLim Hng KiangS Iswaran,2,Uncontested,0
